Spieltag,Ergebnisse
1,"[['1. FC Köln', 'Hamburger SV', '1', '2'], ['Karlsruher SC', '1. FC Nürnberg', '3', '2'], ['Hannover 96', 'Jahn Regensburg', '2', '0'], ['Hertha BSC', 'SC Paderborn 07', '1', '2'], ['1. FC Magdeburg', 'SV Elversberg', '0', '0'], ['FC Schalke 04', 'Eintracht Braunschweig', '5', '1'], ['SV Darmstadt 98', 'Fortuna Düsseldorf', '0', '2'], ['SpVgg Greuther Fürth', 'Preußen Münster', '3', '1'], ['SSV Ulm 1846 Fußball', '1. FC Kaiserslautern', '1', '2']]"
2,"[['1. FC Kaiserslautern', 'SpVgg Greuther Fürth', '2', '2'], ['Jahn Regensburg', 'SSV Ulm 1846 Fußball', '1', '0'], ['Fortuna Düsseldorf', 'Karlsruher SC', '0', '0'], ['SV Elversberg', '1. FC Köln', '2', '2'], ['1. FC Nürnberg', 'FC Schalke 04', '3', '1'], ['Hamburger SV', 'Hertha BSC', '1', '1'], ['SC Paderborn 07', 'SV Darmstadt 98', '3', '1'], ['Eintracht Braunschweig', '1. FC Magdeburg', '1', '3'], ['Preußen Münster', 'Hannover 96', '0', '0']]"
3,"[['Karlsruher SC', 'SV Elversberg', '3', '2'], ['Hannover 96', 'Hamburger SV', '1', '0'], ['SpVgg Greuther Fürth', 'SC Paderborn 07', '1', '1'], ['Hertha BSC', 'Jahn Regensburg', '2', '0'], ['Preußen Münster', '1. FC Kaiserslautern', '0', '1'], ['1. FC Köln', 'Eintracht Braunschweig', '5', '0'], ['SV Darmstadt 98', '1. FC Nürnberg', '1', '1'], ['1. FC Magdeburg', 'FC Schalke 04', '2', '2'], ['SSV Ulm 1846 Fußball', 'Fortuna Düsseldorf', '1', '2']]"
4,"[['Fortuna Düsseldorf', 'Hannover 96', '1', '0'], ['Jahn Regensburg', 'SpVgg Greuther Fürth', '0', '4'], ['Hamburger SV', 'Preußen Münster', '4', '1'], ['SV Elversberg', 'SV Darmstadt 98', '4', '0'], ['1. FC Nürnberg', '1. FC Magdeburg', '0', '4'], ['1. FC Kaiserslautern', 'Hertha BSC', '3', '4'], ['SC Paderborn 07', 'SSV Ulm 1846 Fußball', '0', '0'], ['FC Schalke 04', '1. FC Köln', '1', '3'], ['Eintracht Braunschweig', 'Karlsruher SC', '1', '2']]"
5,"[['Karlsruher SC', 'FC Schalke 04', '2', '0'], ['Preußen Münster', 'SC Paderborn 07', '3', '3'], ['SV Darmstadt 98', 'Eintracht Braunschweig', '1', '1'], ['Hannover 96', '1. FC Kaiserslautern', '3', '1'], ['SSV Ulm 1846 Fußball', '1. FC Nürnberg', '1', '2'], ['1. FC Köln', '1. FC Magdeburg', '1', '2'], ['Hamburger SV', 'Jahn Regensburg', '5', '0'], ['SpVgg Greuther Fürth', 'SV Elversberg', '0', '0'], ['Hertha BSC', 'Fortuna Düsseldorf', '0', '2']]"
6,"[['SC Paderborn 07', 'Hannover 96', '2', '1'], ['FC Schalke 04', 'SV Darmstadt 98', '3', '5'], ['Fortuna Düsseldorf', '1. FC Köln', '2', '2'], ['1. FC Nürnberg', 'Hertha BSC', '0', '2'], ['Eintracht Braunschweig', 'SpVgg Greuther Fürth', '2', '0'], ['1. FC Kaiserslautern', 'Hamburger SV', '2', '2'], ['SV Elversberg', 'SSV Ulm 1846 Fußball', '1', '3'], ['1. FC Magdeburg', 'Karlsruher SC', '2', '2'], ['Jahn Regensburg', 'Preußen Münster', '0', '3']]"
7,"[['SpVgg Greuther Fürth', 'Fortuna Düsseldorf', '1', '2'], ['SSV Ulm 1846 Fußball', 'Eintracht Braunschweig', '3', '1'], ['SV Darmstadt 98', '1. FC Magdeburg', '1', '2'], ['Hamburger SV', 'SC Paderborn 07', '2', '2'], ['Jahn Regensburg', '1. FC Kaiserslautern', '0', '0'], ['Preußen Münster', 'FC Schalke 04', '1', '2'], ['Hannover 96', '1. FC Nürnberg', '2', '0'], ['Hertha BSC', 'SV Elversberg', '1', '4'], ['1. FC Köln', 'Karlsruher SC', '4', '4']]"
8,"[['Karlsruher SC', 'SV Darmstadt 98', '3', '3'], ['SC Paderborn 07', 'Jahn Regensburg', '3', '0'], ['1. FC Köln', 'SSV Ulm 1846 Fußball', '2', '0'], ['SV Elversberg', '1. FC Kaiserslautern', '1', '0'], ['1. FC Nürnberg', 'Preußen Münster', '3', '2'], ['FC Schalke 04', 'Hertha BSC', '2', '2'], ['Fortuna Düsseldorf', 'Hamburger SV', '0', '3'], ['1. FC Magdeburg', 'SpVgg Greuther Fürth', '2', '2'], ['Eintracht Braunschweig', 'Hannover 96', '2', '0']]"
9,"[['SV Darmstadt 98', '1. FC Köln', '5', '1'], ['Hertha BSC', 'Eintracht Braunschweig', '3', '1'], ['Hannover 96', 'FC Schalke 04', '1', '0'], ['Preußen Münster', 'SV Elversberg', '1', '1'], ['Jahn Regensburg', 'Fortuna Düsseldorf', '0', '3'], ['1. FC Kaiserslautern', 'SC Paderborn 07', '3', '0'], ['Hamburger SV', '1. FC Magdeburg', '3', '1'], ['SpVgg Greuther Fürth', '1. FC Nürnberg', '0', '4'], ['SSV Ulm 1846 Fußball', 'Karlsruher SC', '0', '1']]"
10,"[['1. FC Köln', 'SC Paderborn 07', '1', '2'], ['1. FC Nürnberg', 'Jahn Regensburg', '8', '3'], ['Karlsruher SC', 'Hertha BSC', '1', '3'], ['FC Schalke 04', 'SpVgg Greuther Fürth', '3', '4'], ['SV Elversberg', 'Hamburger SV', '4', '2'], ['Fortuna Düsseldorf', '1. FC Kaiserslautern', '3', '4'], ['SV Darmstadt 98', 'SSV Ulm 1846 Fußball', '1', '1'], ['1. FC Magdeburg', 'Hannover 96', '0', '3'], ['Eintracht Braunschweig', 'Preußen Münster', '1', '1']]"
11,"[['SSV Ulm 1846 Fußball', 'FC Schalke 04', '0', '0'], ['Preußen Münster', 'Fortuna Düsseldorf', '1', '0'], ['Hannover 96', 'Karlsruher SC', '2', '1'], ['SpVgg Greuther Fürth', 'SV Darmstadt 98', '1', '5'], ['Jahn Regensburg', 'SV Elversberg', '1', '0'], ['Hertha BSC', '1. FC Köln', '0', '1'], ['Hamburger SV', '1. FC Nürnberg', '1', '1'], ['SC Paderborn 07', 'Eintracht Braunschweig', '0', '0'], ['1. FC Kaiserslautern', '1. FC Magdeburg', '2', '2']]"
12,"[['1. FC Nürnberg', '1. FC Kaiserslautern', '0', '0'], ['Eintracht Braunschweig', 'Hamburger SV', '3', '1'], ['1. FC Köln', 'SpVgg Greuther Fürth', '1', '0'], ['SV Darmstadt 98', 'Hertha BSC', '3', '1'], ['1. FC Magdeburg', 'SSV Ulm 1846 Fußball', '0', '0'], ['Fortuna Düsseldorf', 'SC Paderborn 07', '1', '1'], ['Karlsruher SC', 'Preußen Münster', '1', '1'], ['FC Schalke 04', 'Jahn Regensburg', '2', '0'], ['SV Elversberg', 'Hannover 96', '3', '1']]"
13,"[['SC Paderborn 07', '1. FC Nürnberg', '3', '2'], ['Preußen Münster', '1. FC Köln', '0', '1'], ['Fortuna Düsseldorf', 'SV Elversberg', '0', '2'], ['Hannover 96', 'SV Darmstadt 98', '1', '2'], ['SpVgg Greuther Fürth', 'Karlsruher SC', '2', '3'], ['Hertha BSC', 'SSV Ulm 1846 Fußball', '2', '2'], ['Hamburger SV', 'FC Schalke 04', '2', '2'], ['1. FC Kaiserslautern', 'Eintracht Braunschweig', '3', '2'], ['Jahn Regensburg', '1. FC Magdeburg', '0', '1']]"
14,"[['FC Schalke 04', '1. FC Kaiserslautern', '0', '3'], ['1. FC Magdeburg', 'Hertha BSC', '1', '3'], ['1. FC Köln', 'Hannover 96', '2', '2'], ['SV Elversberg', 'SC Paderborn 07', '1', '3'], ['Eintracht Braunschweig', 'Jahn Regensburg', '0', '0'], ['SV Darmstadt 98', 'Preußen Münster', '0', '0'], ['Karlsruher SC', 'Hamburger SV', '1', '3'], ['1. FC Nürnberg', 'Fortuna Düsseldorf', '2', '2'], ['SSV Ulm 1846 Fußball', 'SpVgg Greuther Fürth', '1', '1']]"
15,"[['SC Paderborn 07', 'FC Schalke 04', '2', '4'], ['SV Elversberg', '1. FC Nürnberg', '2', '1'], ['Hannover 96', 'SSV Ulm 1846 Fußball', '3', '2'], ['SpVgg Greuther Fürth', 'Hertha BSC', '2', '1'], ['1. FC Kaiserslautern', 'Karlsruher SC', '3', '1'], ['Preußen Münster', '1. FC Magdeburg', '1', '2'], ['Fortuna Düsseldorf', 'Eintracht Braunschweig', '5', '0'], ['Hamburger SV', 'SV Darmstadt 98', '2', '2'], ['Jahn Regensburg', '1. FC Köln', '0', '1']]"
16,"[['Karlsruher SC', 'Jahn Regensburg', '4', '2'], ['Hertha BSC', 'Preußen Münster', '1', '2'], ['FC Schalke 04', 'Fortuna Düsseldorf', '1', '1'], ['1. FC Magdeburg', 'SC Paderborn 07', '1', '1'], ['SSV Ulm 1846 Fußball', 'Hamburger SV', '1', '1'], ['SV Darmstadt 98', '1. FC Kaiserslautern', '5', '1'], ['1. FC Köln', '1. FC Nürnberg', '3', '1'], ['SpVgg Greuther Fürth', 'Hannover 96', '1', '0'], ['Eintracht Braunschweig', 'SV Elversberg', '0', '3']]"
17,"[['Fortuna Düsseldorf', '1. FC Magdeburg', '2', '5'], ['SV Elversberg', 'FC Schalke 04', '1', '4'], ['Hamburger SV', 'SpVgg Greuther Fürth', '5', '0'], ['SC Paderborn 07', 'Karlsruher SC', '1', '2'], ['Preußen Münster', 'SSV Ulm 1846 Fußball', '0', '0'], ['1. FC Nürnberg', 'Eintracht Braunschweig', '1', '0'], ['Hannover 96', 'Hertha BSC', '0', '0'], ['1. FC Kaiserslautern', '1. FC Köln', '0', '1'], ['Jahn Regensburg', 'SV Darmstadt 98', '2', '1']]"
18,"[['Fortuna Düsseldorf', 'SV Darmstadt 98', '2', '2'], ['Jahn Regensburg', 'Hannover 96', '0', '1'], ['1. FC Kaiserslautern', 'SSV Ulm 1846 Fußball', '2', '1'], ['Eintracht Braunschweig', 'FC Schalke 04', '0', '0'], ['Preußen Münster', 'SpVgg Greuther Fürth', '2', '1'], ['Hamburger SV', '1. FC Köln', '1', '0'], ['SC Paderborn 07', 'Hertha BSC', '1', '2'], ['SV Elversberg', '1. FC Magdeburg', '2', '5'], ['1. FC Nürnberg', 'Karlsruher SC', '2', '1']]"
19,"[['SpVgg Greuther Fürth', '1. FC Kaiserslautern', '2', '4'], ['1. FC Magdeburg', 'Eintracht Braunschweig', '1', '1'], ['1. FC Köln', 'SV Elversberg', '1', '0'], ['Karlsruher SC', 'Fortuna Düsseldorf', '2', '3'], ['FC Schalke 04', '1. FC Nürnberg', '3', '1'], ['Hertha BSC', 'Hamburger SV', '2', '3'], ['SV Darmstadt 98', 'SC Paderborn 07', '0', '1'], ['Hannover 96', 'Preußen Münster', '2', '2'], ['SSV Ulm 1846 Fußball', 'Jahn Regensburg', '5', '1']]"
20,"[['SV Elversberg', 'Karlsruher SC', '2', '2'], ['1. FC Nürnberg', 'SV Darmstadt 98', '1', '0'], ['Fortuna Düsseldorf', 'SSV Ulm 1846 Fußball', '3', '2'], ['Eintracht Braunschweig', '1. FC Köln', '1', '2'], ['Jahn Regensburg', 'Hertha BSC', '2', '0'], ['FC Schalke 04', '1. FC Magdeburg', '2', '5'], ['Hamburger SV', 'Hannover 96', '2', '2'], ['SC Paderborn 07', 'SpVgg Greuther Fürth', '1', '2'], ['1. FC Kaiserslautern', 'Preußen Münster', '2', '1']]"
21,"[['SpVgg Greuther Fürth', 'Jahn Regensburg', '2', '1'], ['Preußen Münster', 'Hamburger SV', '1', '2'], ['SV Darmstadt 98', 'SV Elversberg', '0', '3'], ['1. FC Magdeburg', '1. FC Nürnberg', '3', '4'], ['SSV Ulm 1846 Fußball', 'SC Paderborn 07', '0', '2'], ['Hertha BSC', '1. FC Kaiserslautern', '0', '1'], ['1. FC Köln', 'FC Schalke 04', '1', '0'], ['Karlsruher SC', 'Eintracht Braunschweig', '0', '2'], ['Hannover 96', 'Fortuna Düsseldorf', '1', '1']]"
22,"[['SC Paderborn 07', 'Preußen Münster', '2', '0'], ['1. FC Magdeburg', '1. FC Köln', '3', '0'], ['SV Elversberg', 'SpVgg Greuther Fürth', '2', '0'], ['1. FC Kaiserslautern', 'Hannover 96', '0', '0'], ['Eintracht Braunschweig', 'SV Darmstadt 98', '1', '0'], ['Fortuna Düsseldorf', 'Hertha BSC', '2', '1'], ['FC Schalke 04', 'Karlsruher SC', '2', '1'], ['1. FC Nürnberg', 'SSV Ulm 1846 Fußball', '2', '0'], ['Jahn Regensburg', 'Hamburger SV', '1', '1']]"
23,"[['Hamburger SV', '1. FC Kaiserslautern', '3', '0'], ['Hertha BSC', '1. FC Nürnberg', '0', '0'], ['Karlsruher SC', '1. FC Magdeburg', '3', '1'], ['SSV Ulm 1846 Fußball', 'SV Elversberg', '0', '0'], ['Preußen Münster', 'Jahn Regensburg', '2', '0'], ['Hannover 96', 'SC Paderborn 07', '1', '1'], ['1. FC Köln', 'Fortuna Düsseldorf', '1', '1'], ['SV Darmstadt 98', 'FC Schalke 04', '2', '0'], ['SpVgg Greuther Fürth', 'Eintracht Braunschweig', '3', '0']]"
24,"[['Fortuna Düsseldorf', 'SpVgg Greuther Fürth', '1', '2'], ['FC Schalke 04', 'Preußen Münster', '1', '0'], ['1. FC Nürnberg', 'Hannover 96', '1', '2'], ['1. FC Kaiserslautern', 'Jahn Regensburg', '3', '0'], ['Eintracht Braunschweig', 'SSV Ulm 1846 Fußball', '1', '1'], ['Karlsruher SC', '1. FC Köln', '1', '0'], ['SC Paderborn 07', 'Hamburger SV', '2', '0'], ['SV Elversberg', 'Hertha BSC', '4', '0'], ['1. FC Magdeburg', 'SV Darmstadt 98', '4', '1']]"
25,"[['SV Darmstadt 98', 'Karlsruher SC', '3', '0'], ['1. FC Kaiserslautern', 'SV Elversberg', '1', '1'], ['SpVgg Greuther Fürth', '1. FC Magdeburg', '1', '1'], ['Hertha BSC', 'FC Schalke 04', '1', '2'], ['SSV Ulm 1846 Fußball', '1. FC Köln', '0', '1'], ['Hamburger SV', 'Fortuna Düsseldorf', '4', '1'], ['Hannover 96', 'Eintracht Braunschweig', '1', '1'], ['Preußen Münster', '1. FC Nürnberg', '0', '1'], ['Jahn Regensburg', 'SC Paderborn 07', '0', '0']]"
26,"[['FC Schalke 04', 'Hannover 96', '1', '2'], ['1. FC Magdeburg', 'Hamburger SV', '0', '3'], ['Fortuna Düsseldorf', 'Jahn Regensburg', '1', '0'], ['SC Paderborn 07', '1. FC Kaiserslautern', '5', '3'], ['SV Elversberg', 'Preußen Münster', '0', '1'], ['1. FC Köln', 'SV Darmstadt 98', '2', '1'], ['Karlsruher SC', 'SSV Ulm 1846 Fußball', '0', '0'], ['1. FC Nürnberg', 'SpVgg Greuther Fürth', '3', '0'], ['Eintracht Braunschweig', 'Hertha BSC', '1', '5']]"
27,"[['Hamburger SV', 'SV Elversberg', '0', '0'], ['SSV Ulm 1846 Fußball', 'SV Darmstadt 98', '2', '1'], ['Hannover 96', '1. FC Magdeburg', '0', '0'], ['SC Paderborn 07', '1. FC Köln', '1', '2'], ['Hertha BSC', 'Karlsruher SC', '3', '1'], ['1. FC Kaiserslautern', 'Fortuna Düsseldorf', '3', '1'], ['SpVgg Greuther Fürth', 'FC Schalke 04', '3', '3'], ['Preußen Münster', 'Eintracht Braunschweig', '1', '1'], ['Jahn Regensburg', '1. FC Nürnberg', '2', '1']]"
28,"[['Karlsruher SC', 'Hannover 96', '1', '0'], ['Eintracht Braunschweig', 'SC Paderborn 07', '3', '2'], ['SV Darmstadt 98', 'SpVgg Greuther Fürth', '1', '0'], ['Fortuna Düsseldorf', 'Preußen Münster', '1', '0'], ['1. FC Nürnberg', 'Hamburger SV', '0', '3'], ['1. FC Köln', 'Hertha BSC', '0', '1'], ['FC Schalke 04', 'SSV Ulm 1846 Fußball', '2', '1'], ['SV Elversberg', 'Jahn Regensburg', '6', '0'], ['1. FC Magdeburg', '1. FC Kaiserslautern', '2', '0']]"
29,"[['Hamburger SV', 'Eintracht Braunschweig', '2', '4'], ['SpVgg Greuther Fürth', '1. FC Köln', '1', '1'], ['Hannover 96', 'SV Elversberg', '1', '3'], ['Hertha BSC', 'SV Darmstadt 98', '1', '1'], ['SSV Ulm 1846 Fußball', '1. FC Magdeburg', '1', '0'], ['1. FC Kaiserslautern', '1. FC Nürnberg', '1', '2'], ['SC Paderborn 07', 'Fortuna Düsseldorf', '1', '2'], ['Preußen Münster', 'Karlsruher SC', '1', '1'], ['Jahn Regensburg', 'FC Schalke 04', '2', '0']]"
